gamma,tdxy,zdamping,nbadballs
0.5,1.5,0.9,605
0.5,1.5,1.0,602
0.5,1.5,1.1,601
0.5,1.5,1.2000000000000002,603
0.5,1.5,1.3,602
0.5,1.5,1.4000000000000001,604
0.5,1.5,1.5,604
0.5,1.5,1.6,601
0.5,1.5,1.7000000000000002,602
0.5,1.5,1.8,605
0.5,1.5,1.9000000000000001,603
0.5,1.5,2.0,606
0.5,1.6,0.1,624
0.5,1.6,0.2,622
0.5,1.6,0.30000000000000004,619
0.5,1.6,0.4,615
0.5,1.6,0.5,609
0.5,1.6,0.6000000000000001,608
0.5,1.6,0.7000000000000001,610
0.5,1.6,0.8,607
0.5,1.6,0.9,606
0.5,1.6,1.0,602
0.5,1.6,1.1,604
0.5,1.6,1.2000000000000002,605
0.5,1.6,1.3,603
0.5,1.6,1.4000000000000001,605
0.5,1.6,1.5,605
0.5,1.6,1.6,602
0.5,1.6,1.7000000000000002,607
0.5,1.6,1.8,605
0.5,1.6,1.9000000000000001,604
0.5,1.6,2.0,609
0.5,1.7000000000000002,0.1,624
0.5,1.7000000000000002,0.2,624
0.5,1.7000000000000002,0.30000000000000004,620
0.5,1.7000000000000002,0.4,616
0.5,1.7000000000000002,0.5,611
0.5,1.7000000000000002,0.6000000000000001,612
0.5,1.7000000000000002,0.7000000000000001,609
0.5,1.7000000000000002,0.8,609
0.5,1.7000000000000002,0.9,607
0.5,1.7000000000000002,1.0,607
0.5,1.7000000000000002,1.1,602
0.5,1.7000000000000002,1.2000000000000002,607
0.5,1.7000000000000002,1.3,605
0.5,1.7000000000000002,1.4000000000000001,607
0.5,1.7000000000000002,1.5,607
0.5,1.7000000000000002,1.6,604
0.5,1.7000000000000002,1.7000000000000002,606
0.5,1.7000000000000002,1.8,608
0.5,1.7000000000000002,1.9000000000000001,606
0.5,1.7000000000000002,2.0,606
0.5,1.8,0.1,625
0.5,1.8,0.2,622
0.5,1.8,0.30000000000000004,619
0.5,1.8,0.4,616
0.5,1.8,0.5,612
0.5,1.8,0.6000000000000001,611
0.5,1.8,0.7000000000000001,612
0.5,1.8,0.8,609
0.5,1.8,0.9,608
0.5,1.8,1.0,608
0.5,1.8,1.1,608
0.5,1.8,1.2000000000000002,607
0.5,1.8,1.3,607
0.5,1.8,1.4000000000000001,607
0.5,1.8,1.5,609
0.5,1.8,1.6,608
0.5,1.8,1.7000000000000002,605
0.5,1.8,1.8,608
0.5,1.8,1.9000000000000001,612
0.5,1.8,2.0,611
0.5,1.9000000000000001,0.1,626
0.5,1.9000000000000001,0.2,623
0.5,1.9000000000000001,0.30000000000000004,621
0.5,1.9000000000000001,0.4,618
0.5,1.9000000000000001,0.5,612
0.5,1.9000000000000001,0.6000000000000001,614
0.5,1.9000000000000001,0.7000000000000001,611
0.5,1.9000000000000001,0.8,608
0.5,1.9000000000000001,0.9,610
0.5,1.9000000000000001,1.0,608
0.5,1.9000000000000001,1.1,606
0.5,1.9000000000000001,1.2000000000000002,607
0.5,1.9000000000000001,1.3,611
0.5,1.9000000000000001,1.4000000000000001,609
0.5,1.9000000000000001,1.5,608
0.5,1.9000000000000001,1.6,607
0.5,1.9000000000000001,1.7000000000000002,610
0.5,1.9000000000000001,1.8,610
0.5,1.9000000000000001,1.9000000000000001,609
0.5,1.9000000000000001,2.0,610
0.5,2.0,0.1,625
0.5,2.0,0.2,625
0.5,2.0,0.30000000000000004,621
0.5,2.0,0.4,618
0.5,2.0,0.5,615
0.5,2.0,0.6000000000000001,610
0.5,2.0,0.7000000000000001,613
0.5,2.0,0.8,611
0.5,2.0,0.9,609
0.5,2.0,1.0,608
0.5,2.0,1.1,608
